,time,open,high,low,close,tick_volume,spread,real_volume
198,1604534400,13996.37,15294.33,13996.12,15232.29,1954360,0,4320000
199,1604620800,15232.29,15956.54,15186.18,15540.25,1974780,0,4320000
200,1604880000,15324.25,15835.36,14809.52,15372.8,1943220,0,4320000
201,1604966400,15372.8,15464.49,15080.68,15372.93,1921940,0,4320000
202,1605052800,15372.93,15977.44,15274.81,15819.31,1923578,0,4320000
203,1605139200,15819.31,16204.87,15469.0,16147.89,1930020,0,4320000
204,1605225600,16147.94,16477.48,15963.05,16283.21,1924134,0,4320000
205,1605484800,15843.8,16876.0,15781.56,16688.35,1921782,0,4320000
206,1605571200,16688.02,17857.06,16553.25,17622.56,1922866,0,4317000
207,1605657600,17623.06,18469.93,17227.25,17774.43,1961608,0,4320000
208,1605744000,17774.43,18164.99,17351.25,17932.79,1952058,0,4320000
209,1605830400,17932.79,18812.56,17711.66,18576.31,1961210,0,4320000
210,1606089600,18580.78,18764.94,17992.28,18408.93,1980020,0,4320000
211,1606176000,18408.93,19423.93,18016.25,18929.65,1967830,0,4320000
212,1606262400,18929.65,19486.5,18630.5,18862.87,1939766,0,4320000
213,1606348800,18862.87,18911.32,16175.25,17023.08,2006110,0,6294788
214,1606435200,17023.08,17441.25,16413.75,16983.85,1965288,0,8057481
215,1606694400,18237.89,19832.97,18050.12,19339.62,1971704,0,9942037
216,1606780800,19339.62,19868.4,18112.96,19006.94,1994010,0,11502205
217,1606867200,19006.94,19294.75,18297.21,19104.82,1989328,0,12413465
218,1606953600,19104.82,19567.62,18837.12,19416.03,2033866,0,12574672
219,1607040000,19416.03,19510.75,18658.76,18800.22,2040478,0,12614586
220,1607299200,19200.38,19379.37,18860.27,19034.74,1996602,0,12736530
221,1607385600,19034.74,19252.15,18569.4,18723.1,2011750,0,12729727
222,1607472000,18723.1,18786.75,17575.75,18472.93,1698700,0,12422359
223,1607558400,18472.93,18602.75,17863.12,18301.87,2022976,0,12612414
224,1607644800,18301.87,18350.87,17540.35,18077.63,2030184,0,12567953
225,1607904000,19132.75,19287.12,18934.31,19153.4,1995566,0,12758144
226,1607990400,19153.4,19515.75,19005.87,19377.85,1990756,0,12684542
227,1608076800,19377.85,21261.75,19252.87,21164.0,1999370,0,12703957
228,1608163200,21164.0,23700.0,21160.14,22741.06,2109552,0,12360894
229,1608249600,22741.06,23238.87,22318.73,22883.07,2070492,0,12382261
230,1608508800,23362.75,24068.13,21897.75,23101.12,2066828,0,12478700
231,1608595200,23101.12,23574.75,22338.5,23393.52,2061538,0,12451365
232,1608681600,23393.52,24033.76,22762.89,23252.34,2088302,0,12495125
233,1608768000,23252.34,23424.87,22603.25,23298.37,1813304,0,10893216
234,1609113600,26278.5,27396.25,26011.24,26524.47,2086940,0,19347512
235,1609200000,26524.47,27111.48,25775.5,26823.0,2059354,0,19915059
236,1609286400,26823.0,28921.55,26823.0,28838.23,2073954,0,20958488
237,1609372800,28838.23,29224.95,27894.62,28891.77,1803014,0,18889500
238,1609718400,33480.25,33591.55,27854.8,30964.95,2125790,0,21600000
239,1609804800,30964.95,34202.43,29875.12,33732.84,2138664,0,21600000
240,1609891200,33732.84,36429.44,33299.75,35880.87,2129514,0,21600000
241,1609977600,35880.87,40304.48,35720.62,39657.51,2134344,0,21600000
242,1610064000,39657.51,41918.14,36578.01,40045.5,2147526,0,21568500
243,1610323200,37962.5,38970.75,30239.22,33888.0,2156208,0,21600000
244,1610409600,33887.08,36584.5,32432.0,34632.7,2058550,0,21585000
245,1610496000,34632.7,37308.94,32275.25,37203.5,2130852,0,21600000
246,1610582400,37203.5,40024.87,36685.64,38690.17,2121526,0,21600000
247,1610668800,38690.17,39614.15,34321.39,36239.12,2131262,0,21579000
248,1610928000,36503.5,37355.72,34706.21,36157.12,2122676,0,21600000
249,1611014400,36157.12,37781.38,36006.45,36406.62,2129028,0,21600000
250,1611100800,36406.62,36713.72,33331.62,34833.25,2120380,0,21600000
251,1611187200,34833.25,35597.86,30921.81,31133.03,2108982,0,21600000
252,1611273600,31136.55,33785.5,28729.29,33305.12,2162230,0,21579000
253,1611532800,31851.0,34803.87,31613.41,32616.75,2133534,0,21589500
254,1611619200,32616.75,32758.5,30772.45,31941.56,2145188,0,21600000
255,1611705600,31941.56,32853.22,29167.31,30928.5,2129974,0,21600000
256,1611792000,30928.5,33258.13,29823.02,33174.73,2121008,0,21600000
257,1611878400,33174.73,38544.95,31912.5,34615.85,2127008,0,21568500
258,1612137600,32541.5,34630.11,32261.87,33590.62,2130718,0,21600000
